Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
ASHANTI,18 mu (Krobo mu),NO,NA,454,522.1,Asante Akim South,Ashanti,NA,No,NA,NA,721223.5469,733768.2002,6.634295097,-0.999005598
ASHANTI,18mu,NO,NA,104,119.6,Sekyere Afram Plains,Ashanti,NA,No,NA,NA,707014.9595,776887.4471,7.024645098,-1.125958699
ASHANTI,208,NO,NA,85,97.75,Adansi South,Ashanti,NA,No,NA,NA,671478.7592,661852.8763,5.985584799,-1.450758499
ASHANTI,A K Gloverkope,NO,NA,48,55.2,Adansi South,Ashanti,NA,No,NA,NA,690960.8697,655655.1381,5.9290185,-1.274971798
ASHANTI,Abaamu,NO,NA,166,190.9,Amansie Central,Ashanti,NA,No,NA,NA,640898.46,690058.1145,6.241384398,-1.726384599
ASHANTI,Ababio,NO,NA,30,34.5,Adansi South,Ashanti,NA,No,NA,NA,688005.7938,660119.1737,5.969466299,-1.301534299
ASHANTI,Abadwe,NO,NA,210,241.5,Adansi North,Ashanti,NA,No,NA,NA,673280.2824,679799.9734,6.147832399,-1.434018199
ASHANTI,Abamkrom,NO,NA,65,74.75,Adansi South,Ashanti,NA,No,NA,NA,660848.1531,667461.0696,6.036564599,-1.5466455
ASHANTI,Aban Nnipakrom,NO,NA,26,29.9,Ahafo Ano South,Ashanti,NA,No,NA,NA,629718.6042,758380.424,6.859541199,-1.825983399
ASHANTI,Abankwa Krom,NO,NA,54,62.1,Asante Akim South,Ashanti,NA,No,NA,NA,713744.6601,713522.4001,6.451522098,-1.067330298
ASHANTI,Abankyem (Abenchim),NO,NA,454,522.1,Bekwai Municipal,Ashanti,NA,No,NA,NA,653248.6192,714386.0328,6.461113098,-1.614181399
ASHANTI,Abanyasu,NO,NA,269,309.35,Amansie Central,Ashanti,NA,No,NA,NA,631546.6116,686904.5037,6.213059898,-1.8109696
ASHANTI,Abease,NO,NA,76,87.4,Asante Akim South,Ashanti,NA,No,NA,NA,698390.1285,702926.3673,6.356223199,-1.206451799
ASHANTI,Abees Akura,NO,NA,32,36.8,Adansi North,Ashanti,NA,No,NA,NA,668441.8342,673040.7618,6.086834699,-1.477906899
ASHANTI,Abena Appiah,NO,NA,21,24.15,Ahafo Ano North,Ashanti,NA,No,NA,NA,579582.9645,768057.8164,6.947971398,-2.279570899
ASHANTI,Abena Manu,NO,NA,27,31.05,Ahafo Ano South,Ashanti,NA,No,NA,NA,597463.329,764925.6949,6.919367998,-2.117772499
ASHANTI,Abenaa Sarpong,NO,NA,21,24.15,Ahafo Ano South,Ashanti,NA,No,NA,NA,611058.4065,780384.9457,7.058946199,-1.9944246
ASHANTI,Abi Bireso No.1,NO,NA,14,16.1,Sekyere East,Ashanti,NA,No,NA,NA,682507.5669,758287.8486,6.857297998,-1.348335999
ASHANTI,Abidjankrom,NO,NA,227,261.05,Afigya Kwabre,Ashanti,NA,No,NA,NA,652770.245,775457.4599,7.013418998,-1.616942499
ASHANTI,Aboabo,NO,NA,144,165.6,Asante Akim South,Ashanti,NA,No,NA,NA,710288.416,705252.6575,6.376871498,-1.098846898
ASHANTI,Aboabo,NO,NA,303,348.45,Bosome Freho,Ashanti,NA,No,NA,NA,698747.5209,681770.405,6.164924899,-1.203875699
ASHANTI,Aboaboagya,NO,NA,166,190.9,Sekyere Afram Plains,Ashanti,NA,No,NA,NA,733588.8369,824265.6231,7.451904998,-0.883502998
ASHANTI,Aboabogya,NO,NA,50,57.5,Ahafo Ano South,Ashanti,NA,No,NA,NA,614378.8303,754107.0268,6.821209798,-1.9648826
ASHANTI,Aboaboso,NO,NA,303,348.45,Asante Akim South,Ashanti,NA,No,NA,NA,715418.1072,713255.4899,6.449051398,-1.052214199
ASHANTI,Aboagyekrom,NO,NA,529,608.35,Amansie Central,Ashanti,NA,No,NA,NA,633033.6198,694535.3871,6.282044999,-1.7973732
ASHANTI,Aboagyekrom,NO,NA,171,196.65,Adansi South,Ashanti,NA,No,NA,NA,636478.0874,674991.152,6.105211599,-1.766650299
ASHANTI,Aboakakrom,NO,NA,30,34.5,Ahafo Ano North,Ashanti,NA,No,NA,NA,596725.6982,773441.5793,6.996405798,-2.1243062
ASHANTI,Aboanidua (Kwame Donkorkro),NO,NA,121,139.15,Ahafo Ano North,Ashanti,NA,No,NA,NA,584162.3359,763802.9479,6.909420498,-2.2381801
ASHANTI,Aboankye Wonwe Akuraa,NO,NA,80,92,Adansi North,Ashanti,NA,No,NA,NA,678473.1544,678617.6498,6.137001499,-1.387133399
ASHANTI,Aboankyiwo,NO,NA,106,121.9,Asante Akim North,Ashanti,NA,No,NA,NA,719739.4079,770621.6149,6.967524498,-1.011053998
ASHANTI,Abodease,NO,NA,65,74.75,Ahafo Ano South,Ashanti,NA,No,NA,NA,601953.8868,765276.69,6.922465598,-2.0771218
ASHANTI,Abogyese Akuraa,NO,NA,32,36.8,Adansi North,Ashanti,NA,No,NA,NA,695399.9214,688405.13,6.225016699,-1.233919398
ASHANTI,Abombile (Bommire),NO,NA,153,175.95,Sekyere Afram Plains,Ashanti,NA,No,NA,NA,720308.4758,784336.2386,7.091488998,-1.005376398
