TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Aberewapong (Abiriwapon),YES,NA,726,834.9,Asante Akim North,Ashanti,NA,No,2020,NA,729667.917,755191.0015,6.827644898,-0.921834998
Adinkrakrom,YES,NA,380,437,Asante Akim North,Ashanti,NA,No,2020,NA,715348.2283,746164.3949,6.746578398,-1.051683199
Agogo Onyemso,YES,NA,558,641.7,Asante Akim North,Ashanti,NA,No,2020,NA,724154.8184,747676.8331,6.759926698,-0.971983798
Atwiriso,YES,NA,57,65.55,Asante Akim North,Ashanti,NA,No,2020,NA,694526.3221,751024.5468,6.791238698,-1.239841998
Bayerebon Dodowa,YES,NA,177,203.55,Atwima Mponua,Ashanti,NA,No,NA,NA,590686.9795,711725.2045,6.438271298,-2.1799085
Cocoa Shed(Afipaye),YES,NA,45,51.75,Atwima Mponua,Ashanti,NA,No,2020,NA,604071.6925,713588.3193,6.454914399,-2.058848499
Dukusen,YES,NA,324,372.6,Asante Akim North,Ashanti,NA,No,2020,NA,722927.1325,771460.9077,6.974989698,-0.982180299
Dwumakrom,YES,NA,130,149.5,Bekwai Municipal,Ashanti,NA,No,2020,NA,657365.4278,709403.6892,6.415953244,-1.577086503
Enwirem/Enwerem,YES,NA,233,267.95,Atwima Mponua,Ashanti,NA,No,2020,NA,607793.1282,743784.8008,6.727972198,-2.0246641
Kowireso,YES,NA,693,796.95,Asante Akim North,Ashanti,NA,No,2020,NA,730634.9996,762884.9808,6.897160498,-0.912785198
Kwame Addokrom,YES,NA,673,773.95,Asante Akim North,Ashanti,NA,No,2020,NA,738389.8272,770386.5894,6.964659598,-0.842329898
Marfokurom,YES,NA,227,261.05,Bekwai Municipal,Ashanti,NA,No,2020,NA,640809.1892,706719.1502,6.392068199,-1.7268232
Menam,YES,NA,905,1040.75,Asante Akim North,Ashanti,NA,No,2020,NA,694592.7384,749512.4255,6.777564298,-1.239290898
Mpesempese-Alhasan,YES,NA,24,27.6,Asante Akim North,Ashanti,NA,No,YES,NA,738620.3671,761308.0637,6.882584498,-0.840617598
Nagoole Bobiekrom,YES,NA,231,265.65,Atwima Mponua,Ashanti,NA,No,2020,NA,598074.2237,721332.744,6.525060499,-2.1129583
Nerebehi,YES,NA,313,359.95,Bekwai Municipal,Ashanti,NA,No,2020,NA,657296.7895,707035.7501,6.394540798,-1.577766299
Owusukrom (Asante Shed),YES,NA,45,51.75,Atwima Mponua,Ashanti,NA,No,2020,NA,566822.072,713215.2552,6.452050699,-2.3956957
Pataban,YES,NA,1018,1170.7,Asante Akim North,Ashanti,NA,,2020,NA,721783.2232,748490.0879,6.767367798,-0.993401199
Serebuoso,YES,NA,369,424.35,Asante Akim North,Ashanti,NA,No,NA,NA,718164.5076,768198.2992,6.945676098,-1.025394799
Tinkong,YES,NA,141,162.15,Asante Akim North,Ashanti,NA,No,2020,NA,718372.5791,750805.354,6.788425598,-1.024161398
Wioso,YES,NA,283,325.45,Bekwai Municipal,Ashanti,NA,No,2020,NA,657557.6213,707743.3544,6.400933399,-1.575390699
Akantansu,YES,UWE,964,1108.6,Atwima Mponua,Ashanti,NA,No,2020,NA,600308.3084,736885.8863,6.665702298,-2.092497699
Ataso,YES,UWE,531,610.65,Atwima Mponua,Ashanti,NA,No,2020,NA,608543.2787,742145.6786,6.713133198,-2.017906999
Bayerebon No.6,YES,UWE,200,230,Atwima Mponua,Ashanti,NA,No,2020,NA,592997.381,706526.8083,6.391216799,-2.159093899
Beposo (Bedabour),YES,UWE,375,431.25,Atwima Mponua,Ashanti,NA,No,2020,NA,591434.8886,711995.7234,6.440707298,-2.1731416
Betinko/Kyekyewere,YES,NA,1355,1558.25,Bekwai Municipal,Ashanti,NA,No,2020,NA,661846.5975,715068.4805,6.467066998,-1.536429398
Mantukwa,YES,UWE,286,328.9,Atwima Mponua,Ashanti,NA,No,2020,NA,571127.9346,732292.2741,6.624565399,-2.3565367
Mpanwe,YES,UWE,277,318.55,Atwima Mponua,Ashanti,NA,No,2020,NA,603824.9392,736103.7863,6.658568798,-2.060698599
Nyamebekyere,YES,UWE,154,177.1,Atwima Mponua,Ashanti,NA,No,2020,NA,581111.3334,720628.9697,6.518941198,-2.266380601
Sebekrom,YES,WELDY,204,234.6,Atwima Mponua,Ashanti,NA,No,2020,NA,601046.8615,733031.5122,6.630827399,-2.0858809
Abaasa,YES,CWE,76,87.4,Asante Akim South,Ashanti,NA,No,2018,NA,700252.8961,698265.8487,6.314025699,-1.189763998
Abaase,YES,NA,362,416.3,Bosumtwe,Ashanti,NA,No,NA,NA,672254.4903,720320.683,6.514281999,-1.442188299
Abankro (Abankrokrom),YES,NA,844,970.6,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,667354.5552,746153.8352,6.748023998,-1.485777999
Abasua,YES,NA,1210,1391.5,Sekyere Central,Ashanti,NA,No,NA,NA,676801.3751,771495.0547,6.976898298,-1.399560099
Abasua No.2,YES,NA,368,423.2,Ahafo Ano South,Ashanti,NA,No,NA,NA,617153.8557,743246.4958,6.722927299,-1.9399862
Abasua No.I,YES,NA,706,811.9,Ahafo Ano South,Ashanti,NA,No,NA,NA,617057.1298,743424.1732,6.724536198,-1.940857799
Abedwum (Abedjum),YES,NA,743,854.45,Adansi North,Ashanti,NA,No,NA,NA,647832.6103,696629.2257,6.300656599,-1.663565099
Abenase,YES,NA,2186,2513.9,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,672524.1784,739283.5855,6.685750998,-1.439212998
Abesewa,YES,NA,5426,6239.9,Ahafo Ano South,Ashanti,NA,No,NA,NA,607801.0068,778693.9501,7.043714398,-2.023947699
Abesewase,YES,NA,183,210.45,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,678547.0371,749086.5493,6.774217998,-1.384446999
Abesowa (Abesewa),YES,NA,365,419.75,Bekwai Municipal,Ashanti,NA,No,NA,NA,659598.4573,710293.3107,6.423941898,-1.556876899
Abetenim,YES,NA,693,796.95,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,678588.8357,751537.2481,6.796376999,-1.383994999
