Title,Image,icons,propertylistdetails_URL,Like,iconbeds,iconbaths,icongarages,margintop15
"GHC18,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2016/01/1e509c452c84ef7_t_w_320_h_240.jpg,5 Photos,https://www.brollghana.com/results/residential/to-let/accra/osu/apartment/4/,3 Bedroom Apartment To Let in Osu,3,2.5,0,"
        This is a multipart  located at Osu. The development has one and three bedroom apartments, with...
        "
"GHC90,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2021/11/09e5c14b0b3881d_t_w_320_h_240.jpeg,20 Photos,https://www.brollghana.com/results/residential/to-let/accra/ridge/house/454/,5 Bedroom House To Let in Ridge,5,4.5,2,"
        ($9000)

Located in the coveted Ridge neighbourhood is this stunning development 0.6 acres of...
        "
"GHC56,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2020/12/45e93a154c16d05_t_w_320_h_240.jpeg,6 Photos,https://www.brollghana.com/results/residential/to-let/accra/cantonments/detached/370/,4 Bedroom Detached To Let in Cantonments,4,3.5,0,"
        ($7000)

Distinguished with a captivating view, this beautiful property really exempts itself...
        "
"GHC65,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/08/6c76f26bc92d54a_t_w_320_h_240.jpg,32 Photos,https://www.brollghana.com/results/residential/to-let/accra/cantonments/compound/585/,Compound To Let in Cantonments,0,3.5,0,"
        ($ 6,500)

This is a very large multi-functional commercial and residential space with high speed...
        "
"GHC55,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/04/c034de533fc1fa2_t_w_320_h_240.jpeg,38 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/house/527/,4 Bedroom House To Let in Airport Area,4,4.5,0,"
        ($5,500)

This captivating four-bedroom home is located in the calm and plush Airport Residential...
        "
"GHC45,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/05/ec5df76ff7c43b1_t_w_320_h_240.jpeg,8 Photos,https://www.brollghana.com/results/residential/to-let/accra/cantonments/house/531/,4 Bedroom House To Let in Cantonments,4,4,0,"
        ($4,500)
This one-of-a-kind colonial-styled four-bedroom house is located in the highly desirable...
        "
"GHC50,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/09/1f4ac32b59fe53b_t_w_320_h_240.jpeg,21 Photos,https://www.brollghana.com/results/residential/to-let/accra/abelemkpe/house/587/,4 Bedroom House To Let in Abelemkpe,4,4,1,"
        ($5,000)
This beautiful 4 bedroom home can be found in the urban enclave of Abelemkpe . One is...
        "
"GHC45,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/01/9404a0894c1e0ab_t_w_320_h_240.jpg,23 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport/apartment/487/,3 Bedroom Apartment To Let in Airport,3,2.5,0,"
        ($4,500-Furnished/ $3,500-Unfurnished)

With several leisure activities at your doorstep, trying...
        "
"GHC48,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2021/04/ae3bdd52e719890_t_w_320_h_240.jpg,19 Photos,https://www.brollghana.com/results/residential/to-let/accra/labone/townhouse/326/,4 Bedroom Townhouse To Let in Labone,4,4,0,"
        ($6,000 p/m)

Located in the heart of Labone is a four bedroom house with a modern kitchen,...
        "
"GHC45,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/06/4a1723aab7d7003_t_w_320_h_240.jpeg,39 Photos,https://www.brollghana.com/results/residential/to-let/accra/adjiringanor/house/557/,5 Bedroom House To Let in Adjiringanor,5,5.5,2,"
        ($4,500)
This lovely two-story home is located in a secluded Adjiringanor neighborhood. Due...
        "
"GHC44,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/03/f4a5fca5237b388_t_w_320_h_240.jpeg,30 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/house/524/,4 Bedroom House To Let in Airport Area,4,4.5,1,"
        ($5,500)
This lovely 4-bedroom house is nestled peacefully in the Airport Residential Area. Due to...
        "
"GHC40,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2020/03/78f5a4b50f33207_t_w_320_h_240.jpeg,14 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/townhouse/323/,4 Bedroom Townhouse To Let in Airport Area,4,4,0,"
        ($5,000pm)
This is the latest community of luxury townhomes in the Airport Residential area. The...
        "
"GHC43,200 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2017/02/76b8cc1e2e4d6b3_t_w_320_h_240.jpg,9 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/apartment/142/,3 Bedroom Apartment To Let in Airport Area,3,3.5,0,"
        APARTMENT FOR RENT,  VILLAGGIO AQUA

RENT: $6,000.00
LOCATION: AIRPORT
FURNISHING: FULLY...
        "
"GHC43,200 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2020/09/f759bed09f5e48c_t_w_320_h_240.jpg,8 Photos,https://www.brollghana.com/results/residential/to-let/accra/ridge/house/6/,4 Bedroom House To Let in Ridge,4,3.5,0,"
        $6000

This is an enviable development located in Ridge. The development has four bedrooms,...
        "
"GHC40,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2018/01/c4ed8b40a8f0567_t_w_320_h_240.jpg,11 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/penthouse/172/,4 Bedroom Penthouse To Let in Airport Area,4,4.5,0,"
        ($5,000)
This remarkable and beautifully furnished penthouse is located in the plush Airport...
        "
"GHC36,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2021/08/ae3ad5453670585_t_w_320_h_240.jpeg,21 Photos,https://www.brollghana.com/results/residential/to-let/accra/cantonments/townhouse/432/,4 Bedroom Townhouse To Let in Cantonments,4,4,0,"
        ($4,500)

This property offers a unique space that is centered around security and privacy. With...
        "
"GHC36,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2018/05/ba49720b655228f_t_w_320_h_240.jpg,6 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/penthouse/200/,4 Bedroom Penthouse To Let in Airport Area,4,3.5,0,"
        FOUR BEDROOM PENTHOUSE- UNFURNISHED
-
AIRPORT 
This beautiful apartment is located in Airport...
        "
"GHC36,000 pm",https://d2rvx5os0838iz.cloudfront.net/uploads/listings/2022/05/554df8767435f6f_t_w_320_h_240.jpg,15 Photos,https://www.brollghana.com/results/residential/to-let/accra/airport-residential-area/penthouse/541/,3 Bedroom Penthouse To Let in Airport Area,3,4,0,"
        3 BEDROOM PENTHOUSE FOR RENT

($4,500)

Perched on the highest floor of a multi-storey...
        "
