Title,ribbon,photocount,Image,Field,Field1,h3,Keywords,wsnr,agentlogowrap_URL,Image2,Image3
,PREMIUM,,https://dve7rykno93gs.cloudfront.net/fascimos/231969,https://meqasa.com/townhouse-for-rent-at-East-Legon-231969?y=1865434928,"3 bedroom townhouse for rent at East Legon, Ghana","
			  PriceGH₵20,000 / month
			","
				3
				4
				2
								
			",Today,https://meqasa.com/properties-listed-by-Lusso%20Casona?g=510897997,https://dve7rykno93gs.cloudfront.net/fascimos/somics/779919408,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"Available August 1st.

1000$ payable in cedis

10 mins drive from the DPS International school
Full Gas C... Read more",PREMIUM, 15,https://dve7rykno93gs.cloudfront.net/temp/out/178271d,https://meqasa.com/house-for-rent-at-Tema-Comm-25-178271?y=1865434928,"5 bedroom house for rent at Tema Comm 25, Ghana","
			  PriceGH₵8,000 / month
			","
				5
				5
				4
				8,000 m2
				
			",Today,https://meqasa.com/properties-listed-by-Kuuku%20Crentsil?g=121728071,https://dve7rykno93gs.cloudfront.net/fascimos/somics/433654267,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge3.png
"The asking rent price is $4,000

PROPERTY ID: CS103

This property is a 4 bedroom detached house with a bo... Read more",PREMIUM, 9,https://dve7rykno93gs.cloudfront.net/temp/out/240907a,https://meqasa.com/house-for-rent-at-Cantonments-240907?y=1865434928,"4 bedroom house for rent at Cantonments, Ghana","
			  PriceGH₵31,600 / month
			","
				4
				4
												
			",Today,https://meqasa.com/properties-listed-by-SellRent%20Ghana?g=611,https://dve7rykno93gs.cloudfront.net/fascimos/somics/646727156,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge.png
A very spacious 2 bedroom (all ensuite)  terrace within the serene community of Bijou Homes in Appolonia City.... Read more,PREMIUM, 7,https://dve7rykno93gs.cloudfront.net/temp/out/238848e,"https://meqasa.com/house-for-rent-at-Oyibi,-Appolonia-City--238848?y=1865434928","2 bedroom house for rent at Oyibi, Appolonia City , Ghana","
			  PriceGH₵1,600 / month
			","
				2
				3
								90 m2
				
			",Today,https://meqasa.com/properties-listed-by-Ikpe%20Wisdom?g=1566864988,https://dve7rykno93gs.cloudfront.net/fascimos/somics/download2.png,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge.png
Brand new 3 bedroom house for rent at Oyarifa Special Ice. Located in a serene and cool neighborhood. Easy acc... Read more,PREMIUM, 12,https://dve7rykno93gs.cloudfront.net/temp/out/243668a,https://meqasa.com/house-for-rent-at-Oyarifa-243668?y=1865434928,"3 bedroom house for rent at Oyarifa, Ghana","
			  PriceGH₵2,500 / month
			","
				3
				3
								325 m2
				
			",Today,https://meqasa.com/properties-listed-by-Nana%20Kweku%20Andoh?g=923193015,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1074273873,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"3 bedroom newly built semi-furnished house with boys/Girls quarters for rent .

Location:Around Trasacco Pol... Read more",PREMIUM, 17,https://dve7rykno93gs.cloudfront.net/temp/out/243364d,https://meqasa.com/house-for-rent-at-Trasacco--243364?y=1865434928,"3 bedroom house for rent at Trasacco , Ghana","
			  PriceGH₵14,000 / month
			","
				3
				4
				6
								
			",Today,https://meqasa.com/properties-listed-by-Teddy%20Ameyaw?g=1046260583,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1812191733,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"3 Bedroom house for rent in Spintex Community 18
Fully furnished 
Self-compound 

Price: $150/day... Read more",PREMIUM, 15,https://dve7rykno93gs.cloudfront.net/temp/out/242954b,https://meqasa.com/house-for-rent-at-Spintex-242954?y=1865434928,"3 bedroom furnished house for rent at Spintex, Ghana","
			  PriceGH₵1,380 / day
			","
				3
				3
				4
								
			",Today,https://meqasa.com/properties-listed-by-Alma%20Sackey?g=718089851,https://dve7rykno93gs.cloudfront.net/fascimos/somics/download.jpg,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge3.png
This newly-renovated 6 bedroom house comprises a spacious 4 bedroom main house and an adjoined 2 bedroom unit.... Read more,PREMIUM, 10,https://dve7rykno93gs.cloudfront.net/temp/out/246475b,https://meqasa.com/house-for-rent-at-Dome-CFC-Estates-246475?y=1865434928,"6 bedroom house for rent at Dome CFC Estates, Ghana","
			  PriceGH₵5,500 / month
			","
				6
				4
				2
				931 m2
				
			",Today,https://meqasa.com/properties-listed-by-Manny%20Darko?g=1660948118,https://dve7rykno93gs.cloudfront.net/fascimos/somics/745075513,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge3.png
"Overview A 5-bedroom, 3-floor house (part of a duplex), which can either be used as a primary residence or co... Read more",PREMIUM, 18,https://dve7rykno93gs.cloudfront.net/temp/out/165924g,https://meqasa.com/house-for-rent-at-Airport-Residential-Area-165924?y=1865434928,"5 bedroom house for rent at Airport Residential Area, Ghana","
			  PriceGH₵30,000 / month
			","
				5
				6
				1
								
			",Today,https://meqasa.com/properties-listed-by-Paul%20?g=1545967162,https://dve7rykno93gs.cloudfront.net/fascimos/somics/658015338,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge3.png
"Four bedroom house for rent at East Legon Hills with large rooms and spacious family area,beautiful garden,a f... Read more",PREMIUM, 17,https://dve7rykno93gs.cloudfront.net/temp/out/153220b,https://meqasa.com/house-for-rent-at-East-Legon-Hills-153220?y=1865434928,"4 bedroom house for rent at East Legon Hills, Ghana","
			  PriceGH₵11,292 / month
			","
				4
				5
				1
				7,000 m2
				
			",Today,https://meqasa.com/properties-listed-by-Picasso%20Estates%20and%20Services?g=433092884,https://dve7rykno93gs.cloudfront.net/fascimos/somics/2063073182,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge.png
